"pubid","member","year"
"23818843","McElrath, Juliana","2013"
"23815575","McElrath, Juliana","2013"
"23707324","McElrath, Juliana","2013"
"24278200","McIntosh, Martin","2013"
"23657156","McIntosh, Martin","2013"
"23269276","McIntosh, Martin","2013"
"23248253","McIntosh, Martin","2013"
"23583824","Milano, Filippo","2013"
"22989692","Milano, Filippo","2013"
"24269905","Moens, Cecilia","2013"
"24183937","Moens, Cecilia","2013"
"23299976","Moens, Cecilia","2013"
"24388423","Nghiem, Paul","2013"
"24225752","Nghiem, Paul","2013"
"24034376","Nghiem, Paul","2013"
"23922299","Nghiem, Paul","2013"
"23436166","Nghiem, Paul","2013"
"23353989","Nghiem, Paul","2013"
"23190897","Nghiem, Paul","2013"
"24333501","Pollack, Seth","2013"
"24179663","Pollack, Seth","2013"
"23635801","Pollack, Seth","2013"
"23524973","Pollack, Seth","2013"
"23456619","Pollack, Seth","2013"
"23414470","Pollack, Seth","2013"
"24025078","Prlic, Martin","2013"
"23719296","Prlic, Martin","2013"
"23523350","Prlic, Martin","2013"
"24104411","Sandmaier, Brenda","2013"
"24062388","Sandmaier, Brenda","2013"
"23907443","Sandmaier, Brenda","2013"
"23847197","Sandmaier, Brenda","2013"
"23769990","Sandmaier, Brenda","2013"
"23744585","Sandmaier, Brenda","2013"
"23723082","Sandmaier, Brenda","2013"
"23547053","Sandmaier, Brenda","2013"
"23523892","Sandmaier, Brenda","2013"
"23416851","Sandmaier, Brenda","2013"
"23321253","Sandmaier, Brenda","2013"
"24170452","Specht, Jennifer","2013"
"24005320","Stoddard, Barry","2013"
"23684799","Stoddard, Barry","2013"
"23265998","Stoddard, Barry","2013"
"24358223","Till, Brian","2013"
"23871782","Till, Brian","2013"
"24518520","Walter, Roland","2013"
"24411921","Walter, Roland","2013"
"24311721","Walter, Roland","2013"
"24062388","Walter, Roland","2013"
"23918679","Walter, Roland","2013"
"23847197","Walter, Roland","2013"
"23829510","Walter, Roland","2013"
"23744585","Walter, Roland","2013"
"23708052","Walter, Roland","2013"
"23686445","Walter, Roland","2013"
"23591789","Walter, Roland","2013"
"23325837","Walter, Roland","2013"
"24384634","Barnabas, Ruanne","2013"
"24029738","Barnabas, Ruanne","2013"
"23764638","Barnabas, Ruanne","2013"
"23372738","Barnabas, Ruanne","2013"
"24351902","Chen, Chu","2013"
"23565320","Chen, Chu","2013"
"23562170","Chen, Chu","2013"
"23319825","Chen, Chu","2013"
"24205345","Chung, Michael","2013"
"23842133","Chung, Michael","2013"
"24013523","Emerman, Michael","2013"
"23874202","Emerman, Michael","2013"
"23870316","Emerman, Michael","2013"
"23660583","Frenkel, Lisa","2013"
"23343425","Frenkel, Lisa","2013"
"23175380","Frenkel, Lisa","2013"
"23044657","Frenkel, Lisa","2013"
"24326250","Gale, Michael","2013"
"24257594","Gale, Michael","2013"
"24241692","Gale, Michael","2013"
"23966395","Gale, Michael","2013"
"23836238","Gale, Michael","2013"
"23633957","Gale, Michael","2013"
"23544010","Gale, Michael","2013"
"23352217","Gale, Michael","2013"
"23321534","Gale, Michael","2013"
"23302871","Gale, Michael","2013"
"22996292","Gale, Michael","2013"
"22903567","Gale, Michael","2013"
"22705311","Gale, Michael","2013"
"26407351","Gantt, Soren","2013"
"23872785","Gantt, Soren","2013"
"26619463","Gantt, Soren","2013"
"23908689","Grady, William","2013"
"23745025","Grady, William","2013"
"23539450","Grady, William","2013"
"23396845","Grady, William","2013"
"25191595","Grady, William","2013"
"24215856","Hawes, Stephen","2013"
"23665777","Hawes, Stephen","2013"
"23571535","Hawes, Stephen","2013"
"22929173","Hawes, Stephen","2013"
"24081123","Jerome, Keith","2013"
"24065324","Jerome, Keith","2013"
"24025078","Jerome, Keith","2013"
"23885038","Jerome, Keith","2013"
"23861664","Jerome, Keith","2013"
"23606943","Jerome, Keith","2013"
"23478911","Jerome, Keith","2013"
"24328496","Ko, Linda","2013"
"24016811","Koelle, David","2013"
"23922299","Koelle, David","2013"
"23657257","Koelle, David","2013"
"23353989","Koelle, David","2013"
"23255792","Koelle, David","2013"
"23552426","Lagunoff, Michael","2013"
"24053119","Lampe, Johanna","2013"
"24034568","Lampe, Johanna","2013"
"23917455","Lampe, Johanna","2013"
"23844105","Lampe, Johanna","2013"
